from fclose: FILE*=0x63b36167d2e0, fd=3, path=/home/shivrajj/.ros/log/ros2_control_node_2837720_1757012587595.log
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/forward_command_controller/package.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/fri_configuration_controller/controller_plugins.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/fri_configuration_controller/package.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/fri_state_broadcaster/controller_plugins.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/fri_state_broadcaster/package.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/gpio_controllers/gpio_controllers_plugin.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/gpio_controllers/package.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/gripper_controllers/package.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/gripper_controllers/ros_control_plugins.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/imu_sensor_broadcaster/imu_sensor_broadcaster.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/imu_sensor_broadcaster/package.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/joint_group_impedance_controller/controller_plugins.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/joint_group_impedance_controller/package.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/joint_state_broadcaster/joint_state_plugin.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/joint_state_broadcaster/package.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/joint_trajectory_controller/joint_trajectory_plugin.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/joint_trajectory_controller/package.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/kuka_control_mode_handler/controller_plugins.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/kuka_control_mode_handler/package.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/kuka_event_broadcaster/controller_plugins.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/kuka_event_broadcaster/package.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/mecanum_drive_controller/mecanum_drive_controller.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/mecanum_drive_controller/package.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/picknik_reset_fault_controller/controller_plugins.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/picknik_reset_fault_controller/package.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/picknik_twist_controller/controller_plugins.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/picknik_twist_controller/package.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/pid_controller/package.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/pid_controller/pid_controller.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/play_motion2/package.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/play_motion2/test/controllers/passthrough_controller.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/pose_broadcaster/package.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/pose_broadcaster/pose_broadcaster.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/position_controllers/package.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/position_controllers/position_controllers_plugins.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/range_sensor_broadcaster/package.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/range_sensor_broadcaster/range_sensor_broadcaster.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/robotiq_controllers/controller_plugins.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/robotiq_controllers/package.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/tricycle_controller/package.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/tricycle_controller/tricycle_controller.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/tricycle_steering_controller/package.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/tricycle_steering_controller/tricycle_steering_controller.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ur_controllers/controller_plugins.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ur_controllers/package.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/velocity_controllers/package.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/velocity_controllers/velocity_controllers_plugins.xml
from fclose: FILE*=0x75445c001390, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/packages/gripper_controllers
from fclose: FILE*=0x754468003550, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/packages/hardware_interface
from fclose: FILE*=0x754474001cf0, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/packages/joint_state_broadcaster
from fclose: FILE*=0x754478001c20, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/packages/joint_trajectory_controller
